Country,Clicks,Impressions,CTR,Position
Spain,7,12267,0.06%,64.9
United States,0,151,0%,13.32
Canada,0,21,0%,4.67
Netherlands,0,12,0%,6.75
India,0,8,0%,30.88
Brazil,0,4,0%,3
Germany,0,4,0%,13.75
Mexico,0,4,0%,20.5
Argentina,0,3,0%,8.33
Australia,0,3,0%,13
Chile,0,3,0%,30
China,0,2,0%,5.5
United Kingdom,0,2,0%,5.5
Ecuador,0,2,0%,9
Peru,0,2,0%,13
Greece,0,2,0%,13.5
Hong Kong,0,2,0%,27.5
Italy,0,2,0%,41.5
Singapore,0,1,0%,1
Turkey,0,1,0%,3
Indonesia,0,1,0%,7
Trinidad & Tobago,0,1,0%,7
Dominican Republic,0,1,0%,8
Finland,0,1,0%,8
Japan,0,1,0%,8
Morocco,0,1,0%,8
Poland,0,1,0%,10
Saudi Arabia,0,1,0%,11
South Korea,0,1,0%,13
Ukraine,0,1,0%,14
Estonia,0,1,0%,18
Switzerland,0,1,0%,28
Malaysia,0,1,0%,33
